代码,名称,最新价,涨跌幅,涨跌额,成交量(股),成交额,振幅,最高,最低,今开,昨收,量比,指数
399244,公共指数,1011.66,-0.51%,-5.22,6.58亿,54.77亿,1.59%,1024.65,1008.52,1019.58,1016.88,1.17,指数成份
399613,深证能源,3545.34,-0.53%,-18.81,8.68亿,95.47亿,2.58%,3609.59,3517.52,3580.2,3564.15,1.13,指数成份
000041,上证公用,2090.81,-0.56%,-11.88,10.58亿,61.8亿,0.99%,2108.29,2087.52,2103.82,2102.69,1.1,指数成份
000040,上证电信,3542.14,-0.60%,-21.5,17.12亿,248.7亿,3.60%,3655.53,3527.1,3577.41,3563.64,1.33,指数成份
000111,380信息,5922.12,-0.61%,-36.55,5.96亿,121.6亿,2.18%,6019.62,5889.75,5963.44,5958.66,1.06,指数成份
000908,300能源,1761.19,-0.61%,-10.81,16.65亿,84.38亿,1.83%,1786.61,1754.16,1775.71,1772.0,1.62,指数成份
399243,科研指数,1794.24,-0.61%,-11.1,2.62亿,30.08亿,1.30%,1810.13,1786.69,1809.51,1805.34,0.96,指数成份
399237,运输指数,1156.85,-0.65%,-7.55,5.86亿,48.11亿,1.70%,1172.56,1152.8,1168.84,1164.4,1.14,指数成份
399668,创业板V,2743.14,-0.70%,-19.36,26.24亿,262.2亿,2.18%,2791.2,2730.85,2771.04,2762.5,1.05,指数成份
000810,细分能源,2057.52,-0.74%,-15.26,38.56亿,259.2亿,1.95%,2090.3,2049.97,2080.33,2072.77,1.44,指数成份
399693,安防产业,3610.18,-0.75%,-27.33,11.51亿,165.2亿,1.95%,3665.7,3594.81,3637.51,3637.51,1.04,指数成份
399293,创业大盘,3065.94,-0.77%,-23.85,13.49亿,231.5亿,2.02%,3112.92,3050.46,3102.08,3089.79,1.07,指数成份
000815,细分食品,16746.13,-0.77%,-129.84,5.81亿,191.7亿,2.63%,17150.02,16706.59,16895.39,16875.97,1.05,指数成份
000032,上证能源,1518.0,-0.77%,-11.85,30.99亿,170.5亿,1.95%,1542.72,1512.83,1534.19,1529.85,1.62,指数成份
000036,上证消费,10119.95,-0.78%,-79.76,4.12亿,116.4亿,2.70%,10372.29,10096.56,10239.95,10199.71,0.91,指数成份
000114,持续产业,1096.43,-0.78%,-8.61,12.53亿,123.5亿,1.66%,1112.15,1093.79,1109.05,1105.04,0.92,指数成份
399232,采矿指数,1867.07,-0.78%,-14.66,7.26亿,48.57亿,1.56%,1890.02,1860.66,1886.74,1881.73,1.14,指数成份
000807,食品饮料,16777.66,-0.78%,-131.7,5.19亿,192.8亿,2.57%,17173.29,16738.43,16923.2,16909.36,1.07,指数成份
399667,创业板G,2322.57,-0.81%,-19.01,22.12亿,310.5亿,2.18%,2363.19,2312.05,2350.13,2341.58,1.07,指数成份
399295,创业蓝筹,3600.35,-0.82%,-29.85,10.06亿,152.1亿,1.85%,3648.32,3581.26,3641.56,3630.2,0.94,指数成份
000995,全指公用,2274.76,-0.84%,-19.32,19.15亿,123.7亿,1.16%,2297.12,2270.59,2296.53,2294.08,0.95,指数成份
399997,中证白酒,7223.96,-0.84%,-61.5,1.6亿,124.3亿,3.13%,7436.62,7208.57,7289.15,7285.46,0.96,指数成份
399987,中证酒,4089.89,-0.88%,-36.17,2.5亿,134.3亿,2.95%,4202.15,4080.34,4128.18,4126.06,0.85,指数成份
